OrderNo,Label,Item,Formula,Header
152,Loans from Group and Related Cos greater than 1 year,loans_from_group_and_related_cos_greater_than_1_year,,
153,Employee Benefits,employee_benefits,,
154,Directors Loans greater than 1 year,directors_loans_greater_than_1_year,,
155,Subordinated Debt,subordinated_debt,,
156,Deferred Tax liability,deferred_tax_liability,,
157,Provisions,provisions,,
158,Deferred Income and gains,deferred_income_and_gains,,
159,Other Non-Current Liabilities,other_non_current_liabilities,,
160,Total Non-Current Liabilities,total_non_current_liabilities,non_current_liabilities,
161,Equity,equity,,Yes
162,Ordinary Shares,ordinary_shares,,
163,Preference Shares,preference_shares,,
164,Share Premium Account,share_premium_account,,
165,Accumulated Change in Fair Value of Fin. Assets,accumulated_change_in_fair_value_of_fin_assets,,
166,Partners Current Account,partners_current_account,,
167,Retained Earnings,retained_earnings,,
168,Revaluation Reserves,revaluation_reserves,,
169,Other Reserves,other_reserves,,
170,Equity Attributable To Owners of Parent,equity_attributable_to_owners_of_parent,,
171,Minority Interest,minority_interest,,
172,Capital Redemption Reserve,capital_redemption_reserve,,
173,Treasury Stock (-),treasury_stock,,
174,General reserve,general_reserve,,
175,Reserves and Surplus,reserves_and_surplus,,
176,Total Capital and Reserves and Surplus,total_capital_and_reserves_and_surplus,equity + minority_interest + capital_redemption_reserve + treasury_stock + general_reserve + reserves_and_surplus,
