OrderNo,Label,Item,Formula,Header,,,,,,,,,,
107, I.       Term Loan from Yes Bank ,i_term_loan_from_yes_bank,,,,,,,,,,,,
108, II.      Term Loan from institutions/Banks ,ii_term_loan_from_institutions_banks,,,142,338,246,187,92,,,,,
109, III.     Other Long Term Liabilities ,iii_other_long_term_liabilities,,Yes,,,,,,,,,,
110, Preference Shares (Repayment Due within 3 years / maturity of our facility) ,preference_shares_repayment_due_within_3_years_maturity_of_our_facility,,,,,,,,,,,,
111, Fixed Deposits ,fixed_deposits,,,,,,,,,,,,
112, Foreign currency loans ,foreign_currency_loans,,,,39,,,,,,,,
113, Debentures ,debentures,,,,,,,,,,,,
114, Others (Sales Tax Deferment Loan) ,others_sales_tax_deferment_loan,,,,21,44,50,50,,,,,
115, Long term liability to be taken as Quasi Equity  ,long_term_liability_to_be_taken_as_quasi_equity,,,,,,,,,,,,
116, Total Other Long Term Liabilities ,total_other_long_term_liabilities,preference_shares_repayment_due_within_3_years_maturity_of_our_facility + fixed_deposits + foreign_currency_loans + debentures + others_sales_tax_deferment_loan  ,, -   ,61,44,50,50, -   , -   , -   , -   , -   
117, Total Long Term Debt (f) ,total_long_term_debt_f, total_other_long_term_liabilities + i_term_loan_from_yes_bank + ii_term_loan_from_institutions_banks,,142,399,290,237,142, -   , -   , -   , -   , -   
118, 2.3.CAPITAL AND SURPLUS ,2_3_capital_and_surplus,,Yes,,,,,,,,,,
119, I.       Paid up Capital ,i_paid_up_capital,,,103,198,198,198,198,,,,,
120, II.      Preference Share Capital ,ii_preference_share_capital,,,,,,,,,,,,
121, III.     Reserves and Surplus ,iii_reserves_and_surplus,,,400,823,971,1169,1434,,,,,
122, IV.    Revaluation Reserves ,iv_revaluation_reserves,,,9,9,8,8,8,,,,,
123, V.    Loss Bought Forward ,v_loss_bought_forward,,,,,,,,,,,,
124, Capital & Reserves (g) ,capital_reserves_g,i_paid_up_capital + ii_preference_share_capital + iii_reserves_and_surplus + iv_revaluation_reserves + v_loss_bought_forward ,,511,1029,1177,1376,1641, -   , -   , -   , -   , -   
125, Deferred Tax Liability (h) ,deferred_tax_liability_h,,,13,45,33,40,50,,,,,
126, TOTAL LIABILITIES  (e+f+g+h) ,total_liabilities_e_f_g_h,total_current_liabilities_e + long_term_liability_to_be_taken_as_quasi_equity + total_long_term_debt_f + capital_reserves_g ,,1153,2557,2898,3463,3767, -   , -   , -   , -   , -   
127, Contingent Liabilities ,contingent_liabilities,,,,,,,,,,,,
